"","UniqueID","HIT_ID","Regex","Accur"
"1",0,0,"([:;])",1
"2",1,0,"fa[lmnop][lmnop][lmnop]",1
"3",2,0,"(deedo(do)?)",0.8
"4",3,0,"&([A-Za-z0-9_]+);",1
"5",4,0,"[a-f](\d+)[a-f]",0.8
"6",5,0,"t[\072-\073]+p",1
"7",6,0,"RR*",1
"8",7,0,"[^0-9A-Za-z]",0.4
"9",8,0,"\{\$(\d+\.\d)\}",0.8
"10",9,0,"no(w|x|y|z)5",1
"11",10,1,"[^0-9]",0.6
"12",11,1,"(deedo(do)?)",0.6
"13",12,1,"xyz[\0133-\0140]",0.6
"14",13,1,"tri(a|b|c|d|e|f)3",0.4
"15",14,1,"([\0175\0173])",0.5
"16",15,1,"[{][$](\d+[.]\d)[}]",0.5
"17",16,1,"tuv[A-Za-z0-9_]",0.5
"18",17,1,"([0-9]+)\.([0-9]+)",0.8
"19",18,1,"fa[lmnop][lmnop][lmnop]",0.6
"20",19,1,"zaa*",0.6
"21",20,2,"RR*",1
"22",21,2,"(\d+)\.(\d+)",1
"23",22,2,"&([A-Za-z0-9_]+);",0.8
"24",23,2,"&d([aeiou]{2})z",1
"25",24,2,"xyz[\x5b-\x5f]",0.6
"26",25,2,"(:|;)",1
"27",26,2,"[^0-9]",0
"28",27,2,"t\.\$+\d+\*",1
"29",28,2,"(deedo(do)?)",1
"30",29,2,"no(w|x|y|z)5",1
"31",30,3,"[\t\r\f\n ]",1
"32",31,3,"%([0-9a-fA-F][0-9a-fA-F])",0.8
"33",32,3,"(:|;)",1
"34",33,3,"xg1([0-9]{1,3})%",1
"35",34,3,"no[wxyz]5",0.8
"36",35,3,"t[.][$]+\d+[*]",1
"37",36,3,"((q4f)?ab)",1
"38",37,3,"t[\x3a-\x3b]+p",1
"39",38,3,"tuv\w",0.2
"40",39,3,"za+",1
"41",40,4,"tri[abcdef]3",0.8
"42",41,4,"%([0-9A-Fa-f]{2})",0.4
"43",42,4,"(deedo|deedodo)",1
"44",43,4,"t\.\$+\d+\*",1
"45",44,4,"[^0-9A-Za-z]",0
"46",45,4,"&([A-Za-z0-9_]+);",1
"47",46,4,"([0-9]+)\.([0-9]+)",1
"48",47,4,"RR*",0.6
"49",48,4,"([:;])",1
"50",49,4,"xyz[\x5b-\x5f]",0.6
"51",50,5,"tuv\w",0.8
"52",51,5,"xg1(\d{1,3})%",0.6
"53",52,5,"tri[a-f]3",0.4
"54",53,5,"[\s]",1
"55",54,5,"&d([aeiou]{2})z",0.8
"56",55,5,"([\0175\0173])",0.6
"57",56,5,"[{][$](\d+[.]\d)[}]",1
"58",57,5,"za+",0.8
"59",58,5,"(q4fab|ab)",0.8
"60",59,5,"t[:;]+p",1
"61",60,6,"((q4f)?ab)",0.8
"62",61,6,"t[.][$]+\d+[*]",1
"63",62,6,"&(\w+);",NA
"64",63,6,"fa[lmnop]{3}",0.6
"65",64,6,"[\s]",NA
"66",65,6,"t[:;]+p",1
"67",66,6,"RR*",0.8
"68",67,6,"tri(a|b|c|d|e|f)3",1
"69",68,6,"(:|;)",0.8
"70",69,6,"(\d+)\.(\d+)",1
"71",70,7,"(\d+)\.(\d+)",1
"72",71,7,"((q4f){0,1}ab)",0.6
"73",72,7,"zaa*",1
"74",73,7,"&d([aeiou][aeiou])z",1
"75",74,7,"tri(a|b|c|d|e|f)3",0.3333333333
"76",75,7,"t[:;]+p",1
"77",76,7,"tuv[A-Za-z0-9_]",1
"78",77,7,"[\D]",0.6
"79",78,7,"([\0175\0173])",0.4
"80",79,7,"t\.\$+\d+\*",0.8
"81",80,8,"[{][$](\d+[.]\d)[}]",1
"82",81,8,"no[wxyz]5",1
"83",82,8,"([\0175\0173])",0.4
"84",83,8,"tuv\w",1
"85",84,8,"xg1([0-9]{1,3})%",1
"86",85,8,"xyz[\0133-\0140]",NA
"87",86,8,"fa[lmnop]{3}",1
"88",87,8,"[^0-9A-Za-z]",1
"89",88,8,"((q4f){0,1}ab)",1
"90",89,8,"zaa*",1
"91",90,9,"tri[a-f]3",1
"92",91,9,"\..*",0.6
"93",92,9,"(\{|\})",0.4
"94",93,9,"tuv\w",0.8
"95",94,9,"(\d+)\.(\d+)",0.8
"96",95,9,"[\D]",0.4
"97",96,9,"t\.\$+\d+\*",0.8
"98",97,9,"t[\x3a-\x3b]+p",0.6
"99",98,9,"&d([aeiou]{2})z",0.8
"100",99,9,"((q4f){0,1}ab)",0.6
"101",100,10,"(deedo(do)?)",0.4
"102",101,10,"[\W_]",0.6
"103",102,10,"&(\w+);",0.4
"104",103,10,"([:;])",0.4
"105",104,10,"tri(a|b|c|d|e|f)3",0.6
"106",105,10,"&d([aeiou][aeiou])z",0.6
"107",106,10,"R+",0.6
"108",107,10,"[a-f]([0-9]+)[a-f]",0.75
"109",108,10,"([$][{])\d+(:[^}]+[}])",0.8
"110",109,10,"xyz[\x5b-\x5f]",0.6
"111",110,11,"(\{|\})",0.4
"112",111,11,"(dee(do){1,2})",1
"113",112,11,"[\t\r\f\n ]",0.6
"114",113,11,"t\.\$+\d+\*",1
"115",114,11,"za+",1
"116",115,11,"tuv[A-Za-z0-9_]",1
"117",116,11,"t[:;]+p",1
"118",117,11,"xg1([0-9]{1,3})%",0.8
"119",118,11,"&d([aeiou]{2})z",0.8
"120",119,11,"tri[a-f]3",1
"121",120,12,"(\{|\})",0.4
"122",121,12,"[{][$](\d+[.]\d)[}]",0.8
"123",122,12,"no[wxyz]5",1
"124",123,12,"%([0-9a-fA-F][0-9a-fA-F])",0.6
"125",124,12,"1q\w\w",0.6
"126",125,12,"zaa*",0.6
"127",126,12,"[^0-9]",0.4
"128",127,12,"[a-f](\d+)[a-f]",0.8
"129",128,12,"xyz[_\[\]`\^\\]",0.6
"130",129,12,"((q4f){0,1}ab)",0.6
"131",130,13,"t[.][$]+\d+[*]",1
"132",131,13,"zaa*",1
"133",132,13,"tri[a-f]3",1
"134",133,13,"(\d+)\.(\d+)",1
"135",134,13,"(deedo(do)?)",1
"136",135,13,"tuv[A-Za-z0-9_]",1
"137",136,13,"t[\x3a-\x3b]+p",NA
"138",137,13,"&d([aeiou][aeiou])z",1
"139",138,13,"(:|;)",1
"140",139,13,"[^0-9]",1
"141",140,14,"(:|;)",1
"142",141,14,"((q4f){0,1}ab)",1
"143",142,14,"[^0-9A-Za-z]",1
"144",143,14,"(\$\{)\d+(:[^}]+\})",1
"145",144,14,"\.+",1
"146",145,14,"tri(a|b|c|d|e|f)3",1
"147",146,14,"&d([aeiou]{2})z",1
"148",147,14,"t[:;]+p",1
"149",148,14,"[a-f]([0-9]+)[a-f]",1
"150",149,14,"&([A-Za-z0-9_]+);",0.6
"151",150,15,"(:|;)",0.8
"152",151,15,"%([0-9a-fA-F][0-9a-fA-F])",0.6
"153",152,15,"([$][{])\d+(:[^}]+[}])",0.4
"154",153,15,"1q\w\w",1
